customer_id,trans_date,tran_amount,year
CS2724,2012-02-06,93,2012
CS1171,2012-11-03,59,2012
CS4564,2012-03-27,48,2012
CS5910,2012-01-01,98,2012
CS1770,2012-11-02,83,2012
CS1735,2012-03-31,70,2012
CS1588,2012-01-27,70,2012
CS5313,2012-12-02,88,2012
CS5966,2012-03-09,39,2012
CS5909,2012-02-04,80,2012
CS1433,2012-11-05,78,2012
CS2296,2012-12-28,79,2012
CS2501,2012-11-14,59,2012
CS2209,2012-03-12,35,2012
CS4421,2012-05-20,86,2012
CS4905,2012-04-13,93,2012
CS5480,2012-01-28,63,2012
CS3957,2012-08-30,69,2012
CS2289,2012-05-19,67,2012
CS3158,2012-05-06,91,2012
CS4176,2012-07-30,49,2012
CS3508,2012-05-23,67,2012
CS5990,2012-10-19,103,2012
CS4811,2012-01-26,77,2012
CS1779,2012-01-27,53,2012
CS2158,2012-09-11,89,2012
CS6088,2012-10-29,48,2012
CS5515,2012-02-19,41,2012
CS3039,2012-05-01,92,2012
CS1836,2012-03-24,63,2012
CS1890,2012-11-03,37,2012
CS6098,2012-09-28,42,2012
CS1273,2012-02-01,91,2012
CS2357,2012-04-13,71,2012
CS4548,2012-06-28,38,2012
CS2384,2012-10-15,35,2012
CS5976,2012-01-02,99,2012
CS4328,2012-06-04,56,2012
CS5427,2012-11-13,96,2012
CS5109,2012-05-23,92,2012
CS1641,2012-12-29,64,2012
CS1721,2012-08-30,96,2012
CS3137,2012-04-04,67,2012
CS1815,2012-11-17,83,2012
CS2359,2012-06-04,90,2012
CS4798,2012-12-06,84,2012
CS2507,2012-06-28,94,2012
CS2881,2012-09-24,54,2012
CS2863,2012-12-23,102,2012
CS3184,2012-01-07,88,2012
CS1327,2012-02-19,38,2012
CS2302,2012-09-09,100,2012
CS3901,2012-09-11,82,2012
CS2289,2012-03-13,89,2012
CS2867,2012-02-09,56,2012
CS2597,2012-06-03,42,2012
CS5838,2012-09-01,96,2012
CS5800,2012-04-23,86,2012
CS3659,2012-05-19,77,2012
CS3026,2012-06-03,55,2012
CS1452,2012-03-23,79,2012
CS2368,2012-08-10,66,2012
CS5546,2012-08-28,79,2012
CS5884,2012-12-19,97,2012
CS5799,2012-11-08,101,2012
CS2493,2012-12-29,85,2012
CS4853,2012-03-27,68,2012
CS5857,2012-09-26,85,2012
CS3888,2012-02-22,70,2012
CS5104,2012-09-17,99,2012
CS3071,2012-09-15,39,2012
CS1961,2012-03-29,75,2012
CS4111,2012-07-26,54,2012
CS4412,2012-01-07,47,2012
CS2720,2012-04-11,72,2012
CS1152,2012-08-04,71,2012
CS1790,2012-10-04,100,2012
CS1475,2012-08-20,73,2012
CS1580,2012-11-18,87,2012
CS2122,2012-02-20,90,2012
CS3060,2012-08-24,59,2012
CS4911,2012-02-17,75,2012
CS1533,2012-07-25,86,2012
CS2185,2012-01-29,46,2012
CS4354,2012-12-29,62,2012
CS1939,2012-07-25,46,2012
CS5516,2012-12-04,75,2012
CS1871,2012-01-16,64,2012
CS4077,2012-07-22,90,2012
CS5790,2012-03-17,58,2012
CS5975,2012-09-08,77,2012
CS4227,2012-10-16,74,2012
CS1696,2012-12-25,51,2012
CS2798,2012-05-30,100,2012
CS3058,2012-09-03,74,2012
CS2463,2012-09-29,55,2012
CS5772,2012-01-18,97,2012
CS2887,2012-03-02,100,2012
CS4299,2012-06-17,37,2012
CS2555,2012-05-20,50,2012
CS3486,2012-11-19,75,2012
CS4779,2012-04-29,53,2012
CS2533,2012-03-30,99,2012
CS2905,2012-07-29,47,2012
CS5142,2012-11-25,64,2012
CS4200,2012-08-12,67,2012
CS3981,2012-07-25,40,2012
CS1343,2012-06-02,57,2012
CS6024,2012-10-14,45,2012
CS2434,2012-05-20,41,2012
CS6018,2012-05-18,96,2012
CS2072,2012-07-07,63,2012
CS1165,2012-04-12,101,2012
CS4593,2012-01-04,84,2012
CS5884,2012-11-20,52,2012
CS4830,2012-04-13,78,2012
CS1673,2012-01-04,92,2012
CS3911,2012-06-09,83,2012
CS2373,2012-03-29,105,2012
CS4142,2012-05-20,100,2012
CS2837,2012-11-10,88,2012
CS4873,2012-11-20,83,2012
CS3376,2012-08-28,39,2012
CS4311,2012-02-27,35,2012
CS1396,2012-09-25,86,2012
CS1997,2012-10-09,87,2012
CS4540,2012-05-17,72,2012
CS5299,2012-12-22,90,2012
CS2253,2012-11-21,99,2012
CS6077,2012-11-22,44,2012
CS5922,2012-03-31,95,2012
CS5547,2012-09-27,73,2012
CS5114,2012-09-23,96,2012
CS5342,2012-10-15,82,2012
CS5425,2012-08-04,90,2012
CS2809,2012-06-02,60,2012
CS5919,2012-03-04,97,2012
CS6067,2012-09-04,44,2012
CS4109,2012-08-21,40,2012
CS3266,2012-11-17,51,2012
CS1533,2012-07-20,85,2012
CS5405,2012-04-21,91,2012
CS5461,2012-02-06,47,2012
CS1984,2012-09-04,53,2012
CS4346,2012-12-09,65,2012
CS2753,2012-06-17,63,2012
CS2252,2012-09-04,68,2012
CS5488,2012-06-28,53,2012
CS1470,2012-02-11,95,2012
CS4688,2012-10-16,59,2012
CS4539,2012-07-28,35,2012
CS2580,2012-07-09,42,2012
CS3983,2012-10-15,103,2012
CS2771,2012-07-02,67,2012
CS1415,2012-01-21,73,2012
CS1927,2012-05-24,63,2012
CS4395,2012-02-26,66,2012
CS3775,2012-02-23,92,2012
CS2885,2012-11-08,55,2012
CS4480,2012-05-23,60,2012
CS3170,2012-10-16,85,2012
CS2899,2012-10-12,55,2012
CS4954,2012-11-02,82,2012
CS4992,2012-10-21,83,2012
CS4160,2012-05-15,66,2012
CS5283,2012-12-01,63,2012
CS4639,2012-07-27,39,2012
CS3347,2012-07-23,38,2012
CS1249,2012-05-23,55,2012
CS1235,2012-05-30,56,2012
CS3838,2012-03-23,82,2012
CS5148,2012-11-19,72,2012
CS1447,2012-03-19,104,2012
CS1693,2012-01-28,59,2012
CS3598,2012-08-08,72,2012
CS5659,2012-08-02,100,2012
CS1243,2012-12-04,70,2012
CS2122,2012-10-21,83,2012
CS3433,2012-12-20,99,2012
CS5821,2012-06-23,70,2012
CS5557,2012-01-23,82,2012
CS3988,2012-04-17,51,2012
CS4629,2012-12-21,35,2012
CS5468,2012-06-08,50,2012
CS4587,2012-10-31,104,2012
CS5126,2012-12-22,49,2012
CS5938,2012-11-20,61,2012
CS3135,2012-07-31,49,2012
CS1416,2012-11-27,100,2012
CS2313,2012-12-23,59,2012
CS5187,2012-01-28,42,2012
CS3291,2012-12-30,93,2012
CS2462,2012-02-25,88,2012
CS3235,2012-07-02,43,2012
CS2748,2012-01-11,55,2012
CS3668,2012-08-25,86,2012
CS5356,2012-10-12,57,2012
CS4079,2012-08-21,68,2012
CS6082,2012-03-02,48,2012
CS4604,2012-04-07,38,2012
CS4509,2012-08-21,93,2012
CS4980,2012-01-25,64,2012
CS4166,2012-12-31,104,2012
CS5063,2012-06-20,56,2012
CS5976,2012-07-22,47,2012
CS4775,2012-07-30,86,2012
CS4174,2012-11-20,51,2012
CS3450,2012-10-26,80,2012
CS3945,2012-11-17,80,2012
CS2524,2012-04-12,55,2012
CS4349,2012-02-05,87,2012
CS2776,2012-11-01,70,2012
CS3593,2012-05-25,81,2012
CS1633,2012-12-19,62,2012
CS2197,2012-09-21,70,2012
CS5154,2012-08-05,78,2012
CS3368,2012-12-04,38,2012
CS5305,2012-03-14,86,2012
CS2087,2012-11-29,52,2012
CS4267,2012-05-20,38,2012
CS5778,2012-11-25,65,2012
CS3400,2012-03-02,97,2012
CS5118,2012-02-26,65,2012
CS4964,2012-04-30,86,2012
CS1626,2012-12-23,38,2012
CS2653,2012-04-07,81,2012
CS1474,2012-05-29,37,2012
CS4892,2012-05-23,60,2012
CS4259,2012-02-05,55,2012
CS1663,2012-03-15,53,2012
CS4527,2012-12-12,99,2012
CS3886,2012-04-10,85,2012
CS6090,2012-09-26,93,2012
CS5716,2012-03-19,100,2012
CS4123,2012-10-16,60,2012
CS3658,2012-05-28,37,2012
CS1609,2012-02-02,45,2012
CS3261,2012-07-31,72,2012
CS5896,2012-09-28,78,2012
CS4499,2012-10-19,46,2012
CS4557,2012-09-29,93,2012
CS5019,2012-11-06,67,2012
CS3960,2012-05-26,48,2012
CS2745,2012-06-21,84,2012
CS3373,2012-11-03,88,2012
CS2898,2012-07-14,62,2012
CS1306,2012-01-21,72,2012
CS4343,2012-01-31,59,2012
CS5217,2012-06-15,42,2012
CS4724,2012-10-29,97,2012
CS1909,2012-08-26,39,2012
CS3421,2012-06-08,41,2012
CS1332,2012-07-12,59,2012
CS1903,2012-11-23,91,2012
CS2967,2012-12-19,97,2012
CS3785,2012-05-02,95,2012
CS3678,2012-09-05,78,2012
CS2927,2012-12-31,84,2012
CS3655,2012-04-29,91,2012
CS5241,2012-10-26,83,2012
CS3155,2012-11-06,68,2012
CS4573,2012-08-03,37,2012
CS1558,2012-01-25,86,2012
CS2243,2012-01-28,92,2012
CS2209,2012-10-09,67,2012
CS5182,2012-07-28,86,2012
CS4462,2012-07-08,70,2012
CS2989,2012-07-15,58,2012
CS4418,2012-07-23,79,2012
CS5489,2012-01-22,104,2012
CS2904,2012-10-19,46,2012
CS3249,2012-08-09,35,2012
CS2591,2012-05-17,83,2012
CS3157,2012-03-20,100,2012
CS5791,2012-06-27,36,2012
CS5484,2012-11-04,54,2012
CS4203,2012-11-20,79,2012
CS5514,2012-08-18,70,2012
CS1549,2012-05-05,88,2012
CS3163,2012-06-14,40,2012
CS2913,2012-02-13,55,2012
CS4239,2012-02-17,77,2012
CS4721,2012-05-03,35,2012
CS3525,2012-04-29,57,2012
CS3928,2012-04-30,66,2012
CS3071,2012-08-13,51,2012
CS3341,2012-12-13,73,2012
CS4428,2012-05-12,80,2012
CS5187,2012-02-26,48,2012
CS5181,2012-04-03,96,2012
CS2600,2012-10-26,92,2012
CS4735,2012-05-01,43,2012
CS3475,2012-02-21,92,2012
CS4205,2012-12-13,44,2012
CS4694,2012-07-21,103,2012
CS5703,2012-03-02,63,2012
CS1562,2012-06-06,47,2012
CS1233,2012-06-10,93,2012
CS5465,2012-09-25,75,2012
CS4237,2012-02-02,35,2012
CS3293,2012-06-14,68,2012
CS2843,2012-05-27,68,2012
CS5186,2012-10-23,45,2012
CS1551,2012-01-08,98,2012
CS3296,2012-01-21,42,2012
CS3508,2012-01-26,90,2012
CS1399,2012-11-13,45,2012
CS3414,2012-01-13,93,2012
CS2505,2012-10-17,96,2012
CS5522,2012-12-28,79,2012
CS3511,2012-11-04,86,2012
CS4094,2012-12-27,99,2012
CS3617,2012-09-12,62,2012
CS2942,2012-07-07,52,2012
