customer_id,trans_date,tran_amount,year
CS4768,2015-03-15,39,2015
CS5902,2015-01-30,89,2015
CS2859,2015-02-27,77,2015
CS1512,2015-02-21,71,2015
CS1511,2015-01-13,47,2015
CS3419,2015-01-29,38,2015
CS4859,2015-01-07,50,2015
CS2516,2015-02-15,55,2015
CS5260,2015-01-30,46,2015
CS4522,2015-03-06,82,2015
CS2418,2015-02-01,51,2015
CS4306,2015-03-07,54,2015
CS4701,2015-01-15,95,2015
CS5287,2015-03-14,94,2015
CS5212,2015-01-22,42,2015
CS1511,2015-01-25,69,2015
CS3755,2015-01-01,45,2015
CS3416,2015-02-23,57,2015
CS2074,2015-01-05,79,2015
CS5815,2015-01-03,92,2015
CS5094,2015-03-07,84,2015
CS5367,2015-01-08,77,2015
CS5046,2015-02-06,86,2015
CS2767,2015-01-03,105,2015
CS5283,2015-02-05,63,2015
CS4413,2015-01-17,38,2015
CS5076,2015-01-31,63,2015
CS3073,2015-02-13,95,2015
CS6073,2015-02-07,104,2015
CS3635,2015-02-03,38,2015
CS2294,2015-03-04,94,2015
CS5553,2015-01-07,98,2015
CS1488,2015-02-12,65,2015
CS5774,2015-02-28,78,2015
CS5690,2015-01-19,82,2015
CS3652,2015-02-07,64,2015
CS4231,2015-02-23,89,2015
CS4884,2015-02-10,78,2015
CS2177,2015-01-30,93,2015
CS2231,2015-01-08,74,2015
CS2328,2015-02-20,43,2015
CS4393,2015-02-10,54,2015
CS4082,2015-02-15,49,2015
CS5761,2015-01-28,102,2015
CS5211,2015-01-13,85,2015
CS4533,2015-01-21,53,2015
CS4353,2015-02-07,75,2015
CS5623,2015-03-01,100,2015
CS2168,2015-01-29,65,2015
CS1425,2015-01-04,83,2015
CS4285,2015-01-27,38,2015
CS5050,2015-03-03,38,2015
CS5855,2015-02-26,63,2015
CS3411,2015-02-28,48,2015
CS5208,2015-02-14,49,2015
CS4084,2015-02-11,53,2015
CS2305,2015-02-06,58,2015
CS1438,2015-02-08,94,2015
CS3688,2015-03-01,36,2015
CS5171,2015-03-10,53,2015
CS5310,2015-03-09,52,2015
CS2427,2015-03-15,89,2015
CS2275,2015-02-14,44,2015
CS4117,2015-01-03,58,2015
CS5115,2015-01-20,50,2015
CS1656,2015-01-24,102,2015
CS2186,2015-01-02,54,2015
CS5095,2015-01-26,69,2015
CS4375,2015-02-17,48,2015
CS4804,2015-02-02,61,2015
CS3026,2015-02-10,55,2015
CS2563,2015-03-15,41,2015
CS2984,2015-01-24,43,2015
CS2946,2015-03-05,57,2015
CS3594,2015-01-10,71,2015
CS2814,2015-02-21,39,2015
CS4010,2015-03-05,85,2015
CS5260,2015-03-10,73,2015
CS2316,2015-01-12,61,2015
CS1227,2015-01-14,76,2015
CS5802,2015-03-12,102,2015
CS3565,2015-02-19,91,2015
CS2467,2015-02-03,43,2015
CS1549,2015-02-19,81,2015
CS2424,2015-02-14,85,2015
CS3622,2015-03-03,101,2015
CS5322,2015-01-22,50,2015
CS2781,2015-01-17,62,2015
CS1772,2015-01-22,90,2015
CS5201,2015-02-14,53,2015
CS1717,2015-01-26,38,2015
CS1742,2015-01-05,53,2015
CS1954,2015-03-11,105,2015
CS2834,2015-02-17,80,2015
CS3590,2015-01-04,51,2015
CS2116,2015-02-12,71,2015
CS3662,2015-02-04,74,2015
CS5121,2015-02-08,69,2015
CS2665,2015-01-09,82,2015
CS1468,2015-02-08,58,2015
CS3433,2015-02-19,91,2015
CS5190,2015-01-31,69,2015
CS4339,2015-03-10,52,2015
CS5477,2015-03-02,78,2015
CS2791,2015-01-14,55,2015
CS1982,2015-01-18,92,2015
CS2296,2015-01-19,98,2015
CS2119,2015-01-09,104,2015
CS5986,2015-02-03,47,2015
CS3348,2015-02-23,67,2015
CS6098,2015-03-12,88,2015
CS2065,2015-03-07,76,2015
CS4835,2015-02-12,59,2015
CS4983,2015-02-03,64,2015
CS2571,2015-02-04,83,2015
CS3444,2015-01-12,74,2015
CS1838,2015-01-04,74,2015
CS2117,2015-02-19,53,2015
CS2628,2015-02-12,94,2015
CS3013,2015-02-19,105,2015
CS2758,2015-02-19,46,2015
CS1938,2015-02-21,49,2015
CS4855,2015-01-27,56,2015
CS2568,2015-01-07,46,2015
CS2057,2015-02-23,50,2015
CS3334,2015-01-03,75,2015
CS3888,2015-02-18,42,2015
CS1575,2015-01-18,62,2015
CS3560,2015-03-14,55,2015
CS2167,2015-01-19,45,2015
CS3783,2015-01-15,83,2015
CS4871,2015-02-16,95,2015
CS3046,2015-01-13,105,2015
CS3132,2015-03-12,94,2015
CS3489,2015-01-06,39,2015
