customer_id,trans_date,tran_amount,year
CS5295,2013-02-11,35,2013
CS2122,2013-02-26,52,2013
CS1850,2013-11-20,78,2013
CS6040,2013-01-08,76,2013
CS3802,2013-08-20,75,2013
CS3494,2013-07-02,94,2013
CS3780,2013-03-25,80,2013
CS2892,2013-05-12,43,2013
CS4147,2013-07-08,81,2013
CS4655,2013-12-30,93,2013
CS2086,2013-03-05,75,2013
CS6085,2013-01-09,49,2013
CS1328,2013-02-06,54,2013
CS2748,2013-03-23,37,2013
CS5147,2013-04-29,72,2013
CS4148,2013-08-22,48,2013
CS5514,2013-01-09,36,2013
CS5933,2013-10-07,48,2013
CS2845,2013-03-08,105,2013
CS1494,2013-06-29,59,2013
CS3434,2013-02-22,98,2013
CS2848,2013-02-04,53,2013
CS5811,2013-08-23,91,2013
CS2596,2013-05-01,76,2013
CS2070,2013-01-30,41,2013
CS4623,2013-09-27,89,2013
CS4708,2013-07-02,48,2013
CS1816,2013-09-22,64,2013
CS5376,2013-12-08,44,2013
CS5653,2013-09-04,98,2013
CS1481,2013-12-23,50,2013
CS5264,2013-04-03,81,2013
CS2183,2013-01-04,39,2013
CS3730,2013-02-11,89,2013
CS5382,2013-03-07,48,2013
CS2548,2013-09-28,73,2013
CS2615,2013-08-17,39,2013
CS4636,2013-09-22,66,2013
CS5643,2013-03-02,104,2013
CS2137,2013-09-29,73,2013
CS3518,2013-06-19,54,2013
CS4081,2013-02-17,74,2013
CS3291,2013-08-02,42,2013
CS1243,2013-03-17,36,2013
CS3477,2013-05-05,80,2013
CS2149,2013-04-04,83,2013
CS1517,2013-10-18,89,2013
CS2613,2013-08-25,103,2013
CS1893,2013-11-17,42,2013
CS3621,2013-10-26,56,2013
CS4330,2013-07-17,59,2013
CS4991,2013-07-20,90,2013
CS2312,2013-10-22,37,2013
CS3787,2013-10-23,48,2013
CS4103,2013-04-14,89,2013
CS5292,2013-09-04,64,2013
CS2049,2013-10-07,66,2013
CS2832,2013-07-16,105,2013
CS2251,2013-04-12,99,2013
CS4927,2013-08-12,37,2013
CS5762,2013-04-21,85,2013
CS3786,2013-07-16,66,2013
CS3632,2013-02-10,72,2013
CS5383,2013-12-29,73,2013
CS4695,2013-09-17,48,2013
CS2765,2013-04-18,88,2013
CS3695,2013-04-20,51,2013
CS1414,2013-12-01,104,2013
CS4732,2013-03-27,96,2013
CS5851,2013-01-19,98,2013
CS2049,2013-03-19,36,2013
CS5563,2013-06-23,70,2013
CS6109,2013-11-01,92,2013
CS5533,2013-05-16,73,2013
CS4738,2013-03-20,37,2013
CS5676,2013-12-16,44,2013
CS5431,2013-01-05,55,2013
CS1891,2013-03-25,84,2013
CS4389,2013-03-22,70,2013
CS3796,2013-09-14,37,2013
CS6066,2013-08-23,66,2013
CS3489,2013-01-09,76,2013
CS6039,2013-10-05,104,2013
CS6063,2013-04-13,104,2013
CS4581,2013-06-04,95,2013
CS2164,2013-08-06,35,2013
CS2217,2013-04-19,85,2013
CS1568,2013-05-10,104,2013
CS4883,2013-12-24,39,2013
CS4094,2013-07-24,100,2013
CS5664,2013-11-02,95,2013
CS1259,2013-06-30,64,2013
CS5510,2013-09-02,99,2013
CS2845,2013-01-10,73,2013
CS3466,2013-11-04,71,2013
CS1508,2013-10-25,101,2013
CS1710,2013-06-10,100,2013
CS2490,2013-12-04,70,2013
CS2942,2013-01-08,62,2013
CS1903,2013-04-15,92,2013
CS3754,2013-11-30,77,2013
CS3692,2013-09-22,42,2013
CS4581,2013-11-16,53,2013
CS3424,2013-12-02,85,2013
CS3207,2013-06-27,86,2013
CS5763,2013-01-23,56,2013
CS3673,2013-04-29,85,2013
CS3441,2013-11-03,43,2013
CS1746,2013-06-21,103,2013
CS3276,2013-07-27,65,2013
CS3052,2013-11-17,67,2013
CS1993,2013-08-08,68,2013
CS4424,2013-05-16,82,2013
CS4841,2013-05-23,74,2013
CS4226,2013-04-19,100,2013
CS5169,2013-01-25,64,2013
CS2896,2013-01-14,71,2013
CS5156,2013-10-02,58,2013
CS5408,2013-07-22,78,2013
CS6019,2013-10-25,84,2013
CS5925,2013-06-20,66,2013
CS3964,2013-11-14,105,2013
CS4688,2013-05-20,101,2013
CS2897,2013-12-03,83,2013
CS1680,2013-10-14,81,2013
CS1638,2013-08-05,84,2013
CS2252,2013-02-28,58,2013
CS3598,2013-07-30,54,2013
CS1639,2013-05-05,51,2013
CS2332,2013-08-29,66,2013
CS2603,2013-07-01,58,2013
CS1800,2013-11-20,72,2013
CS1241,2013-03-06,104,2013
CS4244,2013-02-15,48,2013
CS5233,2013-06-05,73,2013
CS5405,2013-12-04,87,2013
CS4779,2013-05-08,41,2013
CS2026,2013-08-25,66,2013
CS4338,2013-07-05,58,2013
CS1625,2013-11-05,104,2013
CS5064,2013-02-19,97,2013
CS4194,2013-04-24,92,2013
CS2693,2013-08-27,61,2013
CS3864,2013-12-06,56,2013
CS4893,2013-10-24,66,2013
CS1927,2013-12-23,97,2013
CS2416,2013-02-13,59,2013
CS1347,2013-02-10,74,2013
CS3590,2013-10-23,104,2013
CS4971,2013-05-28,83,2013
CS6088,2013-01-27,82,2013
CS1184,2013-01-05,102,2013
CS5785,2013-06-20,63,2013
CS5767,2013-05-29,82,2013
CS4663,2013-02-24,95,2013
CS1405,2013-09-18,43,2013
CS2886,2013-11-09,38,2013
CS4752,2013-04-20,95,2013
CS1624,2013-03-30,68,2013
CS3174,2013-01-25,61,2013
CS2011,2013-06-06,85,2013
CS1456,2013-02-08,95,2013
CS4219,2013-12-06,59,2013
CS5677,2013-02-28,93,2013
CS2928,2013-07-16,67,2013
CS6084,2013-08-15,64,2013
CS3237,2013-01-22,40,2013
CS4645,2013-12-02,104,2013
CS3182,2013-01-18,48,2013
CS3137,2013-08-03,92,2013
CS4454,2013-08-27,57,2013
CS1501,2013-02-27,65,2013
CS3506,2013-03-12,103,2013
CS2244,2013-05-05,86,2013
CS3061,2013-12-02,89,2013
CS3418,2013-03-02,87,2013
CS4967,2013-04-07,98,2013
CS3530,2013-05-13,88,2013
CS4152,2013-02-12,41,2013
CS3821,2013-07-03,73,2013
CS4948,2013-02-18,84,2013
CS3555,2013-08-05,103,2013
CS4444,2013-03-29,102,2013
CS3426,2013-04-02,87,2013
CS4564,2013-03-29,94,2013
CS2607,2013-02-19,50,2013
CS2336,2013-09-22,86,2013
CS2860,2013-05-24,74,2013
CS4851,2013-04-23,94,2013
CS1512,2013-04-01,54,2013
CS3942,2013-05-21,64,2013
CS6056,2013-02-21,98,2013
CS2592,2013-09-08,73,2013
CS3367,2013-08-27,98,2013
CS3331,2013-06-30,99,2013
CS5060,2013-10-02,38,2013
CS5810,2013-04-30,48,2013
CS1839,2013-11-13,77,2013
CS1322,2013-11-25,84,2013
CS5616,2013-10-12,37,2013
CS2473,2013-06-16,81,2013
CS5894,2013-08-17,68,2013
CS1977,2013-07-01,38,2013
CS6044,2013-10-17,36,2013
CS4951,2013-10-30,90,2013
CS2424,2013-12-05,101,2013
CS1803,2013-07-18,80,2013
CS2435,2013-12-19,86,2013
CS3539,2013-06-01,64,2013
CS4895,2013-01-21,43,2013
CS5184,2013-02-09,51,2013
CS1930,2013-04-19,76,2013
CS2578,2013-09-11,47,2013
CS4121,2013-01-21,50,2013
CS3713,2013-10-01,50,2013
CS4299,2013-06-12,36,2013
CS1971,2013-03-09,39,2013
CS2411,2013-09-26,71,2013
CS1522,2013-04-21,90,2013
CS6085,2013-09-24,65,2013
CS3857,2013-11-08,53,2013
CS4790,2013-12-24,103,2013
CS5264,2013-02-13,79,2013
